Exchange Rates to USD (Last Updated: 30-SEP-2021),,Visteon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Argentina Peso (ARS),2.953,2.92236,3.083,3.11403,3.20335,3.73123,3.92023,4.1243,4.57807,5.36605,8.13616,9.0635,14.69947,16.57128,28.18516,46.7838,67.98457,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507,97.507
Australian Dollar (AUD),1.3701,1.3012,1.35,1.20008,1.1096,1.31246,1.10522,0.96943,0.98649,1.03213,1.10082,1.33574,1.37388,1.30263,1.33001,1.48199,1.46172,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099,1.37099
Brazil Real (BRL),3.0519,2.43398,2.2454,1.96398,1.77103,2.05405,1.77676,1.65694,1.90155,2.14635,2.31189,3.3048,3.60798,3.18845,3.692,3.94615,5.08881,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Bulgarian Lev (BGN),,,,,,,,,,,1.46425,1.74823,1.76977,1.74282,1.64616,1.74468,1.72159,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576,1.6576
Canadian Dollar (CAD),1.3186,1.2113,1.12952,1.0807,1.01145,1.15638,1.04347,0.98919,1.00432,1.02501,1.09635,1.27414,1.31605,1.29765,1.28815,1.32599,1.33793,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601,1.2601
Chinese Yuan (CNY),8.2731,8.19247,8.01097,7.62913,6.8203,6.8315,6.7822,6.4744,6.30524,6.16244,6.15899,6.28238,6.60583,6.79431,6.58375,6.91445,6.99442,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
Croatian Kuna (HRK),4.7032,4.7032,4.7032,4.7032,4.7032,5.394,5.4994,5.31892,5.7598,5.72065,5.70605,6.81145,6.81916,6.64317,6.25122,6.61603,6.61114,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485,6.3485
Czech Rep. Koruny (CZK),26.2484,23.96366,22.8828,20.40558,16.47348,19.08723,19.2976,17.43611,19.79204,19.45715,20.60834,24.47279,24.43634,23.61827,21.55269,22.93487,23.10578,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671,21.671
Danish Krone (DKK),6.0314,5.8926,6,5.46125,4.8088,5.38353,5.63022,5.3313,5.81497,5.6322,5.56856,6.6704,6.73169,6.62694,6.28367,6.65447,6.55762,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031,6.3031
Euro (EUR),0.8135,0.80357,0.80198,0.73293,0.64524,0.72146,0.7594,0.7133,0.782,0.75768,0.74928,0.89385,0.90477,0.8911,0.84163,0.89203,0.88003,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746,0.84746
